ICAO,Широта,Долгота,Превышение,Расстояние,Коридор,Вид,Кандидат,Пассажиропоток,Грузопоток,Почта,Керосин,Категория
URKA,45.002141666667,37.347261111111,54.0,354,1,УА,True,1362793,729.05,0.0,66526,1
URWA,46.282825,48.011227777778,-20.0,979,1,УА,True,580910,801.22,307.82,61825,1
UWSB,51.8588,47.745466666667,27.0,996,3,УА,True,0,0.0,0.0,0,1
UUOB,50.643722222222,36.590458333333,224.0,322,1,УА,True,468773,46.33,0.0,57000,1
UUBP,53.2144167,34.1759667,203.0,600,3,УА,True,20444,30.39,0.0,55917,1
URMO,43.205180555556,44.606744444444,510.0,890,1,УА,True,439684,486.33,222.6,62500,1
URWW,48.783047222222,44.344352777778,145.0,676,1,УА,True,1013823,873.2,766.0,61530,1
UUOO,51.815033333333,39.229666666667,157.0,521,3,УА,True,606289,202.59,278.68,45800,1
URKG,44.582016666667,38.013,40.0,420,1,УА,True,294865,7.43,0.0,63593,1
URMG,43.3882,45.69985,166.0,949,1,УА,True,283202,493.39,0.62,61400,1
UUBW,55.55285,38.1498,123.0,877,3,УА,True,425500,1556.0,0.0,58500,1
UUBC,54.548486111111,36.371188888889,201.0,746,3,УА,True,18145,2.81,0.0,58724,1
URKK,45.035,39.17,36.0,432,1,УА,False,3494987,5979.14,2132.94,62017,1
UUOK,51.75055,36.2957667,206.0,437,1,УА,True,32871,89.5,0.0,58724,1
UUOL,52.70325,39.53775,178.0,616,3,УА,True,63821,0.0,0.0,56154,1
URMS,43.3235167,45.0121667,368.0,908,1,УА,True,231633,39.06,0.0,73293,1
URMM,44.226794444444,43.082991666667,319.0,724,1,УА,True,2180178,2111.85,819.43,63500,1
UUWW,55.6,37.2733333,209.0,870,3,УА,True,18138865,58493.98,10259.52,57500,1
UUDD,55.4083167,37.9066667,181.0,857,3,УА,False,30657854,122862.35,25472.5,58870,1
UUEE,55.972397222222,37.413052777778,192.0,913,3,УА,False,39641443,293972.5,35727.3,62080,1
URMN,43.512933333333,43.63665,446.0,808,1,УА,True,236865,177.0,299.9,64000,1
UWPP,53.109236111111,45.026119444444,184.0,901,3,УА,True,152881,22.78,0.0,61136,1
URRP,47.493994444444,39.924811111111,86.0,348,1,УА,False,187252,329.11,62.17,61680,1
UWPS,54.1252667,45.21265,216.0,981,3,УА,True,0,0.0,0.0,61014,1
UWSG,51.712641666667,46.170877777778,30.0,889,1,УА,True,481503,490.6,399.6,59748,1
URFB,44.691930555556,33.574397222222,105.0,377,1,УА,True,0,0.0,0.0,0,1
URFF,45.05205,33.973816666667,183.0,329,1,УА,False,5128743,7112.9,642.6,78263,1
URSS,43.4445,39.9488166,27.0,609,1,УА,False,5681974,4107.4,228.04,63750,1
URMT,45.1092667,42.1127667,453.0,604,1,УА,True,356210,794.0,437.0,74759,1
UUOT,52.806375,41.482763888889,126.0,702,3,УА,True,31294,0.0,0.0,58433,1
URWI,46.3745833,44.32385,152.0,703,3,УА,True,10898,8.16,0.02,80165,1
ZFC7,42.8582667,41.1280667,12.0,718,1,БН,True,0,0.0,0.0,72000,1
UKCC,48.075016666667,37.725516666667,241.0,181,1,БН,True,0,0.0,0.0,0,1
UKCW,48.418066666667,39.374833333333,195.0,308,1,БН,True,0,0.0,0.0,0,1
UKDE,47.8675667,35.31535,114.0,0,1,БН,True,0,0.0,0.0,0,1
UKOH,46.675966666667,32.506283333333,45.0,250,1,БН,True,0,0.0,0.0,0,1
UKCM,47.07615,37.4496,74.0,183,1,БН,True,0,0.0,0.0,0,1
